1156,MH01CV1927,Side_Loading_Compactor,lpoDQAmtgjYwnSIagaOa,aecmwYmCVyeLDCIfBNtR,TATA,2019,t,2022-01-20 22:59:59.283474+05:30,2022-01-20 22:59:59.283493+05:30,62,1,,5
2301,MH01DR3817,Tempo,TQQZWBEPINzlPVfnWjqg,EvaczfypNmiptEgyksfm,TATA,2020,t,2022-06-25 12:21:52.926241+05:30,2022-06-25 12:21:52.926296+05:30,157,1,,3
2302,MH01DR3813,Tempo,HfAXFFbryJYgrQYmLHMK,WwzYzygpWbTLgVqeGtis,TATA,2020,t,2022-06-25 12:21:52.934261+05:30,2022-06-25 12:21:52.934297+05:30,156,1,,2
2303,MH01DR3814,Tempo,tmOrThacZgLLpSYsJqks,fjkEmqWEXyOPOwEFzRhU,TATA,2020,t,2022-06-25 12:21:52.939765+05:30,2022-06-25 12:21:52.939802+05:30,158,1,,4
2304,MH01DR3812,Tempo,oQlofvTTTYkjSuibrPTs,CwwppogGtIufBbXlWLbn,TATA,2020,t,2022-06-25 12:21:52.944509+05:30,2022-06-25 12:21:52.944545+05:30,158,1,,4
2305,MH01DR3818,Tempo,cNwmJCiaBeOjtamrMWaZ,FIknaqGdyatGATyXrKBP,TATA,2020,t,2022-06-25 12:21:52.947714+05:30,2022-06-25 12:21:52.947747+05:30,159,1,,5
1069,MH01CV1601,Refuse_Compactor,BxuOogTNWtWjuUhluHBe,MXBPvZvKALVxOPomWqRm,TATA,2019,t,2022-01-20 22:59:59.118124+05:30,2022-01-20 22:59:59.118158+05:30,60,1,,3
2125,MH47Y4951,Refuse_Compactor,ruKxIFTzkLHfSAbUsYFY,CLUnbFCJkmMKtNCRXhXO,TATA,2021,t,2022-04-13 18:18:41.900679+05:30,2022-04-13 18:18:41.900699+05:30,133,1,,11
2126,MH47Y4952,Refuse_Compactor,JohYGXIzsUaZXCiJtqYm,DVFckKsfhVvANeUdHthu,TATA,2021,t,2022-04-13 18:18:41.90285+05:30,2022-04-13 18:18:41.90287+05:30,133,1,,11
2127,MH47Y4953,Refuse_Compactor,wgqTiCpWyVNdgWdwqdnw,BhpVCHGWigimLOkchVFJ,TATA,2021,t,2022-04-13 18:18:41.905575+05:30,2022-04-13 18:18:41.905594+05:30,133,1,,11
1112,MH01CV3508,Refuse_Compactor,VBkFHHZtAgrnyTDPTzDc,tqVMLFrLnalwzTRcdZJi,TATA,2019,t,2022-01-20 22:59:59.207662+05:30,2022-01-20 22:59:59.207682+05:30,61,1,,4
1115,MH01CV3507,Refuse_Compactor,MJhiAgCgqglRwdkYZzip,CWZBMEQPKtoGydtqnOIF,TATA,2019,t,2022-01-20 22:59:59.213805+05:30,2022-01-20 22:59:59.213826+05:30,61,1,,4
1116,MH01CV3505,Refuse_Compactor,ZuNJxGTXoeYRRNVsjlRz,sbSflPaZRToWpvyOdNOU,TATA,2019,t,2022-01-20 22:59:59.215799+05:30,2022-01-20 22:59:59.215819+05:30,61,1,,4
1150,MH01CV3496,Refuse_Compactor,vJSwoXAMETheWnrPJGNO,FVXtuRqwiqRKXIsntjVV,TATA,2019,t,2022-01-20 22:59:59.274732+05:30,2022-01-20 22:59:59.274752+05:30,62,1,,5
1151,MH01CV3503,Refuse_Compactor,PmsnTeyMZksVkexuxqVq,PufRWoyCTfZAgwcJqsVt,TATA,2019,t,2022-01-20 22:59:59.276337+05:30,2022-01-20 22:59:59.276357+05:30,62,1,,5
1153,MH01CV3248,Refuse_Compactor,afzMqOyGZHoGHGUlngkW,GRQzaKVYZsJHTxZDNEwG,TATA,2019,t,2022-01-20 22:59:59.279188+05:30,2022-01-20 22:59:59.279208+05:30,62,1,,5
1154,MH01CV3498,Refuse_Compactor,WlbcMVUxRBbvWZqtgZVY,NuXXeRaLvWGlUKZZPOjF,TATA,2019,t,2022-01-20 22:59:59.280681+05:30,2022-01-20 22:59:59.2807+05:30,62,1,,5
1155,MH01CV3499,Refuse_Compactor,CfFslewPBSdBvurazuYA,FaNBpZDoGDUxDgcjoRwE,TATA,2019,t,2022-01-20 22:59:59.282044+05:30,2022-01-20 22:59:59.282064+05:30,62,1,,5
1148,MH01CV1633,Ward_and_Watch,HPXKljmAlDTeqbsbFXUS,MRoQMOCkGmyDmJQOFIcp,TATA,2019,t,2022-01-20 22:59:59.271914+05:30,2022-01-20 22:59:59.271933+05:30,61,1,,4
1149,MH01CV2359,Ward_and_Watch,HOtssLmPgEMCIYkvnrXy,IqLaKsbcwhAqQEbrGfvx,TATA,2019,t,2022-01-20 22:59:59.273351+05:30,2022-01-20 22:59:59.273371+05:30,61,1,,4
2306,MH01DR3815,Tempo,CmsDsfjbDlbLMBDYifAQ,vJeOQNIZfVptIwlGDEet,TATA,2020,t,2022-06-25 12:21:52.951549+05:30,2022-06-25 12:21:52.951582+05:30,155,1,,1
2307,MH01DR3819,Tempo,XsgjhRxFancohLQCpBEC,ozeyRAZgTSQeFqSTmfNZ,TATA,2020,t,2022-06-25 12:21:52.955506+05:30,2022-06-25 12:21:52.955563+05:30,155,1,,1
2308,MH01DR3816,Tempo,yDgwbuhVtOTeaOiVaiHk,vmitlNVyYUBTggEiIfQB,TATA,2020,t,2022-06-25 12:21:52.958599+05:30,2022-06-25 12:21:52.958633+05:30,155,1,,1
2309,MH01DR3820,Tempo,ImEEOWTDFXLarDAJellv,PcqTFnYNtPQKyPIcHrHf,TATA,2020,t,2022-06-25 12:21:52.96178+05:30,2022-06-25 12:21:52.961813+05:30,155,1,,1
